question_id,candidate_name,category,difficulty,expected_source,accept_sources,question,prob_structured,prob_skill,prob_docs,prob_project
q001,Dana Levy,personal,easy,structured,,What is the candidate's full name?,1.0,0.0,0.0,0.0
q002,Dana Levy,personal,easy,structured,,What is the candidate's email address?,1.0,0.0,0.0,0.0
q003,Dana Levy,personal,easy,structured,,What is the candidate's phone number?,1.0,0.0,0.0,0.0
q004,Dana Levy,personal,easy,structured,,What is the candidate's LinkedIn profile?,1.0,0.0,0.0,0.0
q005,Dana Levy,personal,easy,structured,,What is the candidate's GitHub profile URL?,1.0,0.0,0.0,0.0
q006,Dana Levy,personal,medium,structured,,How can I contact the candidate?,1.0,0.0,0.1,0.0
q007,Dana Levy,personal,easy,structured,,What country is the candidate based in?,1.0,0.0,0.0,0.0
q008,Dana Levy,personal,easy,structured,,What is the candidate's country dialing code?,1.0,0.0,0.0,0.0
q009,Dana Levy,education,easy,structured,,What degree does the candidate hold?,1.0,0.0,0.1,0.0
q010,Dana Levy,education,easy,structured,,What did the candidate study?,1.0,0.0,0.1,0.0
q011,Dana Levy,education,easy,structured,,Where did the candidate study?,0.9,0.0,0.2,0.0
q012,Dana Levy,education,easy,structured,,When did the candidate graduate?,0.9,0.0,0.1,0.0
q013,Dana Levy,education,easy,structured,,What is the candidate's GPA?,1.0,0.0,0.0,0.0
q014,Dana Levy,education,medium,docs,,Tell me about the candidate's educational background.,0.8,0.0,0.9,0.0
q015,Dana Levy,education,medium,docs,,What was the candidate's thesis about?,0.1,0.0,0.9,0.0
q016,Dana Levy,education,medium,docs,,Did the candidate receive any academic honors?,0.2,0.0,0.8,0.0
q017,Dana Levy,experience,easy,structured,,How many years of experience does the candidate have?,1.0,0.0,0.1,0.0
q018,Dana Levy,experience,easy,structured,,What is the candidate's current role?,1.0,0.0,0.1,0.0
q019,Dana Levy,experience,medium,structured,,Describe the candidate's current job responsibilities.,0.4,0.0,0.9,0.0
q020,Dana Levy,experience,medium,docs,,Where has the candidate worked previously?,0.2,0.0,0.9,0.0
